latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source_file
30.14175,75.00104,367.0,0.36,0.58,2024-10-31,08:45,N,high,2.0NRT,307.17,16.42,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.15247,75.22177,333.04,0.38,0.58,2024-10-31,08:45,N,nominal,2.0NRT,301.02,3.05,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.18538,75.68845,346.91,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,300.59,4.7,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.16112,75.49979,332.91,0.39,0.59,2024-10-31,08:45,N,nominal,2.0NRT,299.83,2.45,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.17067,75.63834,334.35,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,298.4,2.03,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.18144,75.79707,336.56,0.41,0.6,2024-10-31,08:45,N,nominal,2.0NRT,301.8,3.13,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.16826,75.68563,367.0,0.4,0.6,2024-10-31,08:45,N,high,2.0NRT,306.52,18.0,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.12867,75.19586,367.0,0.37,0.58,2024-10-31,08:45,N,high,2.0NRT,302.98,5.8,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.13808,75.48929,346.32,0.39,0.59,2024-10-31,08:45,N,nominal,2.0NRT,300.52,2.67,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.13658,75.71855,341.74,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,300.98,2.97,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.13871,75.48917,345.38,0.39,0.59,2024-10-31,08:45,N,nominal,2.0NRT,300.83,2.44,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.18954,76.36292,342.6,0.44,0.62,2024-10-31,08:45,N,nominal,2.0NRT,300.39,4.88,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.09477,75.12757,341.65,0.37,0.58,2024-10-31,08:45,N,nominal,2.0NRT,302.99,2.53,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.13869,75.71798,339.84,0.4,0.6,2024-10-31,08:45,N,nominal,2.0NRT,300.72,2.22,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.1796,76.30255,340.29,0.44,0.62,2024-10-31,08:45,N,nominal,2.0NRT,302.41,3.15,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.11563,75.47871,348.66,0.39,0.59,2024-10-31,08:45,N,nominal,2.0NRT,301.75,6.88,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
30.10405,75.397,330.81,0.38,0.59,2024-10-31,08:45,N,low,2.0NRT,301.89,1.53,D,fire_sat_data\SUOMI_VIIRS_C2_South_Asia_VNP14IMGTDL_NRT_2024305.txt
